gene_id	colors
ENSG00000126733.21	turquoise
ENSG00000126787.13	brown
ENSG00000126803.9	blue
ENSG00000127083.7	turquoise
ENSG00000127152.18	brown
ENSG00000127241.18	turquoise
ENSG00000127324.9	turquoise
ENSG00000127325.19	brown
ENSG00000127588.5	grey
ENSG00000127928.13	turquoise
ENSG00000127990.19	turquoise
ENSG00000128165.9	turquoise
ENSG00000128218.8	yellow
ENSG00000128268.12	turquoise
ENSG00000128285.4	brown
ENSG00000128322.7	brown
ENSG00000128422.17	turquoise
ENSG00000128438.10	yellow
ENSG00000128510.12	brown
ENSG00000128573.26	yellow
ENSG00000128591.16	turquoise
ENSG00000128594.8	blue
ENSG00000128606.13	blue
ENSG00000128655.18	turquoise
ENSG00000128918.15	brown
ENSG00000129009.13	turquoise
ENSG00000129151.9	blue
ENSG00000129159.9	blue
ENSG00000129173.13	brown
ENSG00000129354.12	blue
ENSG00000129451.12	turquoise
ENSG00000129455.15	turquoise
ENSG00000129514.8	yellow
ENSG00000129596.5	turquoise
ENSG00000129654.8	grey
ENSG00000129682.16	turquoise
ENSG00000129824.16	grey
ENSG00000130032.17	turquoise
ENSG00000130054.5	blue
ENSG00000130222.11	blue
ENSG00000130226.17	turquoise
ENSG00000130294.17	turquoise
ENSG00000130540.14	blue
ENSG00000130545.16	yellow
ENSG00000130701.4	blue
ENSG00000130707.18	blue
ENSG00000130720.13	blue
ENSG00000130829.18	blue
ENSG00000130876.11	turquoise
ENSG00000131002.12	grey
ENSG00000131016.17	turquoise
ENSG00000131126.19	blue
ENSG00000131142.13	brown
ENSG00000131183.11	blue
ENSG00000131187.10	blue
ENSG00000131370.16	green
ENSG00000131398.15	turquoise
ENSG00000131620.17	turquoise
ENSG00000131686.15	brown
ENSG00000131737.5	blue
ENSG00000131738.11	blue
ENSG00000131746.13	turquoise
ENSG00000131771.14	yellow
ENSG00000131808.11	blue
ENSG00000131951.11	turquoise
ENSG00000132026.14	turquoise
ENSG00000132031.13	turquoise
ENSG00000132164.10	blue
ENSG00000132185.18	yellow
ENSG00000132329.11	turquoise
ENSG00000132429.10	yellow
ENSG00000132465.12	brown
ENSG00000132639.13	yellow
ENSG00000132698.15	blue
ENSG00000132704.16	yellow
ENSG00000132821.12	grey
ENSG00000132840.10	turquoise
ENSG00000132854.19	turquoise
ENSG00000132911.5	grey
ENSG00000132938.21	blue
ENSG00000133019.12	turquoise
ENSG00000133020.4	brown
ENSG00000133048.13	turquoise
ENSG00000133055.9	yellow
ENSG00000133063.16	brown
ENSG00000133101.10	turquoise
ENSG00000133107.15	yellow
ENSG00000133110.15	yellow
ENSG00000133124.11	blue
ENSG00000133135.14	blue
ENSG00000133169.6	grey
ENSG00000133454.16	brown
ENSG00000133636.11	turquoise
ENSG00000133640.20	turquoise
ENSG00000133661.17	turquoise
ENSG00000133710.16	turquoise
ENSG00000133878.9	turquoise
ENSG00000133937.5	turquoise
ENSG00000134020.8	turquoise
ENSG00000134028.14	yellow
ENSG00000134042.14	blue
ENSG00000134115.13	turquoise
