"Gene_Name","Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"AC002558.1","ENSG00000239291.1",6.49093119720757,-0.760265079221951,0.0714501915604111,-10.6404904258255,1.93110215630211e-26,2.93210006914599e-26,"Up in Cluster 4"
"HOXC4","ENSG00000198353.8",270.909738363129,0.717762273536668,0.0674956361492332,10.6342026608904,2.06588174139898e-26,3.13657532773711e-26,"Up in Cluster 7"
"AP000547.3","ENSG00000283633.1",179.585370324622,1.02740756674143,0.096630056823034,10.6323808607812,2.10664637208977e-26,3.19812444366494e-26,"Up in Cluster 7"
"SMARCA1","ENSG00000102038.16",2759.02725983499,0.512641149322919,0.0482168355830812,10.6319948856785,2.11538479617328e-26,3.21121827468174e-26,"Up in Cluster 7"
"YJEFN3","ENSG00000250067.12",184.543132759591,0.522938368849365,0.0491861707759024,10.6318170453221,2.11942316145782e-26,3.21717625306801e-26,"Up in Cluster 7"
"AL034405.1","ENSG00000235189.2",3.75528559698948,0.688931968374897,0.0648001966173975,10.6316339199183,2.12358952564986e-26,3.22332787844555e-26,"Up in Cluster 7"
"AC078860.2","ENSG00000257761.3",3.72309546447197,-0.788521138306875,0.0741810977117057,-10.6296774061143,2.16861296532745e-26,3.29131482941512e-26,"Up in Cluster 4"
"LINC02641","ENSG00000230131.6",5.67211852234391,0.793034784507728,0.0746107940103453,10.6289551669664,2.18547124943206e-26,3.31672305376364e-26,"Up in Cluster 7"
"LINC01414","ENSG00000253554.7",5.86626893424854,-1.50539172542363,0.141662865579987,-10.6265796562872,2.24184139851403e-26,3.40136071661228e-26,"Up in Cluster 4"
"CLGN","ENSG00000153132.13",373.815531318253,-0.820244549015047,0.0771961816245297,-10.6254549351235,2.26903115574649e-26,3.44242913534613e-26,"Up in Cluster 4"
"C1orf127","ENSG00000175262.14",29.1750420091314,-0.600977799114645,0.0566203342958304,-10.6141690364216,2.56062589627295e-26,3.8827388282653e-26,"Up in Cluster 4"
"LINC01234","ENSG00000249550.7",156.227938271092,-0.978455085373342,0.0922425560852688,-10.6074151335189,2.75258826482865e-26,4.17359262140008e-26,"Up in Cluster 4"
"LINC01315","ENSG00000229891.2",170.753178498265,0.537387339146577,0.0506761045320583,10.6043537503286,2.844234788125e-26,4.31185872123124e-26,"Up in Cluster 7"
"AC127521.1","ENSG00000262823.1",30.5824423751188,-0.62850711038491,0.0592695276813533,-10.6042199925046,2.84830724602985e-26,4.3178015189294e-26,"Up in Cluster 4"
"LINC00565","ENSG00000260910.2",21.9756455682277,0.701419735377871,0.0661554766949057,10.6025951352851,2.89824250208467e-26,4.39302917589005e-26,"Up in Cluster 7"
"PSD3","ENSG00000156011.17",2149.44517411554,0.562385347901653,0.0530439118817795,10.602260051164,2.90864777283497e-26,4.40856516435842e-26,"Up in Cluster 7"
"TIAM1","ENSG00000156299.13",1252.49101399567,0.62069722958087,0.0585718251544181,10.5971980204556,3.07041846700567e-26,4.65276131732658e-26,"Up in Cluster 7"
"FLJ40194","ENSG00000177369.9",7.5958644273181,0.565821571170935,0.0533936715216471,10.5971654513689,3.07148765448845e-26,4.65413257417299e-26,"Up in Cluster 7"
"WIF1","ENSG00000156076.10",206.288534945367,-1.32550361275904,0.125116789271293,-10.5941306556782,3.17275145835431e-26,4.80731744393176e-26,"Up in Cluster 4"
"AL365181.2","ENSG00000272068.1",264.800064029564,0.7578800013893,0.0715533486104419,10.5918173797208,3.25215645331504e-26,4.92736747841427e-26,"Up in Cluster 7"
"AC005393.1","ENSG00000276445.1",20.4640507030254,0.535822841024995,0.0505931861527289,10.5908103792371,3.28733502048326e-26,4.980134135357e-26,"Up in Cluster 7"
"AP005131.1","ENSG00000267136.1",9.26882597997537,0.828224265173524,0.0782089073833828,10.589896891329,3.31957298336672e-26,5.02870399913178e-26,"Up in Cluster 7"
"U73166.1","ENSG00000230454.1",47.9974441112101,0.508531090719267,0.0480389703848762,10.5858032893928,3.46793259321428e-26,5.25260616403923e-26,"Up in Cluster 7"
"MROH2A","ENSG00000185038.14",56.7891363649182,-1.21037630788768,0.11438577510094,-10.5815282260366,3.62988687570327e-26,5.49702400446597e-26,"Up in Cluster 4"
"LRFN1","ENSG00000128011.5",278.439561485552,0.584246003445903,0.0552394177192718,10.5766140840777,3.82533140028431e-26,5.79176271384431e-26,"Up in Cluster 7"
"H3C13","ENSG00000183598.4",10.5422440568303,0.829883170450194,0.0784735926246633,10.575317666664,3.87860848743071e-26,5.87211334673218e-26,"Up in Cluster 7"
"AP000446.1","ENSG00000255234.6",4.81703451753238,0.530739446165089,0.0501994177046179,10.5726215648168,3.99177325516269e-26,6.04247318294583e-26,"Up in Cluster 7"
"FCRLB","ENSG00000162746.14",147.100282170711,0.629048748408589,0.0595782477694793,10.5583626903985,4.64696347561986e-26,7.03124985194329e-26,"Up in Cluster 7"
"POU5F1P3","ENSG00000235602.5",13.0691122035644,0.504466698536628,0.0477868912608553,10.5565916766354,4.73544779824022e-26,7.16475148581809e-26,"Up in Cluster 7"
"AC009975.1","ENSG00000282890.1",6.96185006410262,-1.26014261609833,0.119377408925514,-10.5559554981177,4.76763892457564e-26,7.2130715781348e-26,"Up in Cluster 4"
