source	target	weight	module1	module2
GPRIN3	PIK3CG	0.9501332202902643	blue	blue
MYH2	MYOZ2	0.9501240898164796	black	black
MYBPC2	STYXL2	0.9500945914239685	black	black
COX6A2	MB	0.9500910819409117	black	black
AIF1	TNFAIP8L2	0.9500226272888868	blue	blue
CKM	MYF6	0.9499805159799242	black	black
CACNG6	HJV	0.9499443796826781	black	black
MYL1	MYOZ2	0.9498377040832208	black	black
EVI2B	NCKAP1L	0.9497969828228078	blue	blue
MYH7	XIRP2	0.9497227929764919	black	black
CAV3	DES	0.9497151151099856	black	black
ASB5	CAVIN4	0.9497028879873578	black	black
CACNA1S	CAV3	0.9496199708431688	black	black
MYOZ2	MYPN	0.9495741842469846	black	black
CAV3	CAVIN4	0.9494800495834158	black	black
ARPP21	KLHL40	0.9494600059783748	black	black
MYPN	NMRK2	0.9494283968443643	black	black
AC068506.1	LMOD3	0.9494065500089763	black	black
GZMH	NKG7	0.9494023475854738	blue	blue
CD2	TRBC1	0.949391392570848	blue	blue
CASQ2	TNNI1	0.9493525900194991	black	black
MYBPC2	MYF6	0.9493511845924443	black	black
EVI2B	PTPRC	0.9493268502718608	blue	blue
CACNG6	COX6A2	0.949270107519136	black	black
HHATL	LDB3	0.9492698041958239	black	black
COX6A2	CSRP3	0.9492396029555541	black	black
CAVIN4	MYPN	0.9492353395556277	black	black
CKM	HHATL	0.9492337687023588	black	black
MIR1-1HG	NMRK2	0.9492205286339959	black	black
LMOD3	MYOZ1	0.9491635160181666	black	black
COX6A2	STAC3	0.9491559150167683	black	black
YWHAZP10	YWHAZP5	0.949096005896333	purple	purple
HRC	MYBPC2	0.9490907355119319	black	black
MYH2	SMYD1	0.94908601375122	black	black
ATP1A2	STYXL2	0.9490838534253699	black	black
CASQ2	MYLPF	0.9490127168126553	black	black
ASB5	HRC	0.9489772598457663	black	black
NLGN4Y	USP9Y	0.9489702197336192	floralwhite	floralwhite
ANKRD1	MYL1	0.948966664220014	black	black
