Project,Gene,P_Value,N_Patients,Significant
TCGA-LUSC,DNLZ,0.31369369223643717,494,FALSE
TCGA-MESO,HSP90AA1,0.37621092568412096,85,FALSE
TCGA-MESO,HSP90AB1,0.7871199436590824,85,FALSE
TCGA-MESO,HSCB,0.08878599785336305,85,FALSE
TCGA-MESO,DNAJA3,0.13660443993094118,85,FALSE
TCGA-MESO,DNAJB6,0.022545030215093353,85,TRUE
TCGA-MESO,HSPB1,0.3865179496554768,85,FALSE
TCGA-MESO,GRPEL1,0.7400275622578666,85,FALSE
TCGA-MESO,CRYAB,0.09492709937143662,85,FALSE
TCGA-MESO,HSPA9,0.6760335375474278,85,FALSE
TCGA-MESO,HSPE1,0.46714636067512216,85,FALSE
TCGA-MESO,DNAJC15,0.7929563563148997,85,FALSE
TCGA-MESO,TRAP1,0.9840446984709919,85,FALSE
TCGA-MESO,DNAJB2,0.7526687718625615,85,FALSE
TCGA-MESO,HSPD1,0.873229409585738,85,FALSE
TCGA-MESO,CCT6A,0.0036554497219276616,85,TRUE
TCGA-MESO,HSPB8,0.9389459441081964,85,FALSE
TCGA-MESO,GRPEL2,0.36794697816066313,85,FALSE
TCGA-MESO,CLPX,0.4914233196804676,85,FALSE
TCGA-MESO,HSPB7,0.05315334266079352,85,FALSE
TCGA-MESO,SDHAF1,0.07889178002861319,85,FALSE
TCGA-MESO,DNAJC19,0.010959376061458692,85,TRUE
TCGA-MESO,DNLZ,0.01157258812874351,85,TRUE
TCGA-OV,HSP90AA1,0.17946774132511034,405,FALSE
TCGA-OV,HSP90AB1,0.3024007709351596,405,FALSE
TCGA-OV,HSCB,0.07595391872641699,405,FALSE
TCGA-OV,DNAJA3,0.8029948316720305,405,FALSE
TCGA-OV,DNAJB6,0.32554799615442265,405,FALSE
TCGA-OV,HSPB1,0.7389332414823879,405,FALSE
TCGA-OV,GRPEL1,0.9827957888267812,405,FALSE
TCGA-OV,CRYAB,0.0027098375981055023,405,TRUE
TCGA-OV,HSPA9,0.46146155964482183,405,FALSE
TCGA-OV,HSPE1,0.001549740993813442,405,TRUE
TCGA-OV,DNAJC15,0.8580106859919295,405,FALSE
TCGA-OV,TRAP1,0.4622226037931204,405,FALSE
TCGA-OV,DNAJB2,0.11566824674381182,405,FALSE
TCGA-OV,HSPD1,0.0467060776040944,405,TRUE
TCGA-OV,CCT6A,0.8420871840322425,405,FALSE
TCGA-OV,HSPB8,0.5074016363600763,405,FALSE
TCGA-OV,GRPEL2,0.635246859423671,405,FALSE
TCGA-OV,CLPX,0.6924337599436758,405,FALSE
TCGA-OV,HSPB7,0.12152186275191368,405,FALSE
TCGA-OV,SDHAF1,0.47592968043204453,405,FALSE
TCGA-OV,DNAJC19,0.32142709182783813,405,FALSE
TCGA-OV,DNLZ,0.4255573545117032,405,FALSE
TCGA-PAAD,HSP90AA1,0.018373469189016056,177,TRUE
TCGA-PAAD,HSP90AB1,0.5285756173935294,177,FALSE
TCGA-PAAD,HSCB,0.3856788548559934,177,FALSE
TCGA-PAAD,DNAJA3,0.7877807557633407,177,FALSE
TCGA-PAAD,DNAJB6,0.7431751857037331,177,FALSE
TCGA-PAAD,HSPB1,0.816199243149422,177,FALSE
TCGA-PAAD,GRPEL1,0.8577304100845642,177,FALSE
TCGA-PAAD,CRYAB,0.17723106920729403,177,FALSE
TCGA-PAAD,HSPA9,0.9496266916784198,177,FALSE
TCGA-PAAD,HSPE1,0.9516425571227596,177,FALSE
TCGA-PAAD,DNAJC15,0.7389265306812637,177,FALSE
TCGA-PAAD,TRAP1,0.4339267266481187,177,FALSE
TCGA-PAAD,DNAJB2,0.29217972505856893,177,FALSE
TCGA-PAAD,HSPD1,0.13185260122988218,177,FALSE
TCGA-PAAD,CCT6A,0.6080355293057782,177,FALSE
