project_id,gene_id,gene_name,mean_expression,median_expression,sd_expression,n_samples,comparison_type,mean_normal,mean_tumor,median_normal,median_tumor,log2fc,p_value,padj,n_normal,n_tumor
TCGA-CESC,ENSG00000100209.11,HSCB,NA,NA,NA,NA,normal_vs_tumor,768.5552851620737,565.3608743563187,805.0368025532578,507.93925824315346,-0.4437428797695841,0.2523798234122829,0.4216303855494357,3,304
TCGA-CESC,ENSG00000103423.14,DNAJA3,NA,NA,NA,NA,normal_vs_tumor,2865.9002567742127,3715.834859522679,3154.145347648041,3605.882661550275,0.3744053547081447,0.13709916548678708,0.2981377577350374,3,304
TCGA-CESC,ENSG00000105993.15,DNAJB6,NA,NA,NA,NA,normal_vs_tumor,6999.4212933534955,5583.83266146389,5958.759704811065,5279.621368561036,-0.326010378494829,0.26831024534964093,0.4216303855494357,3,304
TCGA-CESC,ENSG00000106211.10,HSPB1,NA,NA,NA,NA,normal_vs_tumor,74497.42401617151,131678.88810867156,52730.3898369884,94347.09040491005,0.8217686163742327,0.2485942666470028,0.4216303855494357,3,304
TCGA-CESC,ENSG00000109519.13,GRPEL1,NA,NA,NA,NA,normal_vs_tumor,1971.3979796129174,2035.0683836198157,1968.7654318257598,1914.4295564340964,0.04598536620925486,0.8717223898724147,0.8717223898724147,3,304
TCGA-CESC,ENSG00000109846.9,CRYAB,NA,NA,NA,NA,normal_vs_tumor,12206.292986516075,2403.0805782415405,13994.415409103067,750.8005106050512,-2.3446417536971844,0.029583797896963332,0.11269032974116733,3,304
TCGA-CESC,ENSG00000113013.16,HSPA9,NA,NA,NA,NA,normal_vs_tumor,12125.6077115417,14166.514060522337,13136.340124453844,13778.64249982727,0.22446938352745976,0.32235830002882615,0.47279217337561164,3,304
TCGA-CESC,ENSG00000115541.11,HSPE1,NA,NA,NA,NA,normal_vs_tumor,614.3889637419546,1598.7912863654199,587.7079456877126,1350.5409475083989,1.3797954565647061,0.0014719038526149163,0.012722078471722546,3,304
TCGA-CESC,ENSG00000120675.6,DNAJC15,NA,NA,NA,NA,normal_vs_tumor,2385.6468962350273,1896.9786126173553,2203.623865188536,1349.389755951382,-0.3306462422770932,0.7044175837859283,0.8156414128047592,3,304
TCGA-CESC,ENSG00000126602.11,TRAP1,NA,NA,NA,NA,normal_vs_tumor,1901.5282253689913,2770.1937998983067,1899.6385835186181,2623.5158430321544,0.5428743951410309,0.10523028621972372,0.2893832871042402,3,304
TCGA-CESC,ENSG00000135924.16,DNAJB2,NA,NA,NA,NA,normal_vs_tumor,7086.820531905223,6439.967882916943,7433.569489564333,5660.731926001501,-0.1381663059052979,0.7421860382318454,0.8164046420550299,3,304
TCGA-CESC,ENSG00000144381.18,HSPD1,NA,NA,NA,NA,normal_vs_tumor,11706.021656096827,18418.445235793944,10720.33231713342,17013.963002425153,0.6539369270204642,0.03862500102992671,0.12139286037976967,3,304
TCGA-CESC,ENSG00000146731.11,CCT6A,NA,NA,NA,NA,normal_vs_tumor,8487.08433869193,12836.898140822466,7916.188707617359,12064.781395004,0.5969723729296287,0.030733726293045636,0.11269032974116733,3,304
TCGA-CESC,ENSG00000152137.8,HSPB8,NA,NA,NA,NA,normal_vs_tumor,11752.28185915828,2174.5210656001213,9448.851655683517,1726.5700885625454,-2.4341471358270312,0.00173482888250762,0.012722078471722546,3,304
TCGA-CESC,ENSG00000164284.15,GRPEL2,NA,NA,NA,NA,normal_vs_tumor,1060.8174780213267,1402.3790389152693,1093.3839983826851,1326.0826189328732,0.4020513502298882,0.1490688788675187,0.2981377577350374,3,304
TCGA-CESC,ENSG00000166855.9,CLPX,NA,NA,NA,NA,normal_vs_tumor,3209.82344646631,2757.274801375464,3215.499191722539,2692.4158802075217,-0.21934556748046669,0.420677226290394,0.5444058222581569,3,304
TCGA-CESC,ENSG00000173641.18,HSPB7,NA,NA,NA,NA,normal_vs_tumor,8904.54549307183,97.06812992733175,9206.795025967049,41.536549450099535,-6.52030761670578,6.659855666769327e-12,1.465168246689252e-10,3,304
TCGA-CESC,ENSG00000205138.4,SDHAF1,NA,NA,NA,NA,normal_vs_tumor,1008.9563409107825,842.6190240320841,937.9701313813362,717.7591148837503,-0.260564366164774,0.5215977612705468,0.6375083748862239,3,304
TCGA-CESC,ENSG00000205981.8,DNAJC19,NA,NA,NA,NA,normal_vs_tumor,1755.6887254313347,1847.8487378595594,1726.2740673688218,1618.7197773903576,0.07361023879962021,0.8390189463018349,0.8717223898724147,3,304
TCGA-CESC,ENSG00000213221.5,DNLZ,NA,NA,NA,NA,normal_vs_tumor,12.947378316357614,9.341560736171292,10.22564067908295,7.577130482515112,-0.47756869792789863,0.4202234824462453,0.5444058222581569,3,304
TCGA-CHOL,ENSG00000080824.19,HSP90AA1,NA,NA,NA,NA,normal_vs_tumor,22850.501056388464,29813.993157682908,23529.30870096174,25546.56349825737,0.38375917370602264,0.1038417745187801,0.12691772441184235,9,35
TCGA-CHOL,ENSG00000096384.20,HSP90AB1,NA,NA,NA,NA,normal_vs_tumor,22129.152329981327,63077.175595185305,20369.067935424744,44540.7861155354,1.103304466092473,5.869765721583917e-18,6.456742293742309e-17,9,35
TCGA-CHOL,ENSG00000100209.11,HSCB,NA,NA,NA,NA,normal_vs_tumor,584.0965534841848,432.50031083626465,569.9182201301574,409.69173884322873,-0.43367869436436873,0.03984393508878013,0.051562739526656645,9,35
TCGA-CHOL,ENSG00000103423.14,DNAJA3,NA,NA,NA,NA,normal_vs_tumor,4047.712060234357,2699.6734670587143,3851.051648809094,2659.088799310127,-0.5844313343654609,3.5689518061374014e-6,7.137903612274803e-6,9,35
TCGA-CHOL,ENSG00000105993.15,DNAJB6,NA,NA,NA,NA,normal_vs_tumor,1604.896001536975,3065.1395550692678,1649.7012116449725,2931.506201783748,0.933535124454753,1.4183625489170555e-10,6.240795215235045e-10,9,35
TCGA-CHOL,ENSG00000106211.10,HSPB1,NA,NA,NA,NA,normal_vs_tumor,7376.905425189157,22358.23562342289,6904.985970089249,19024.865983336756,1.5997498493817863,5.940940770876274e-7,1.3070069695927805e-6,9,35
TCGA-CHOL,ENSG00000109519.13,GRPEL1,NA,NA,NA,NA,normal_vs_tumor,3049.54676413123,1341.256842003575,3144.239753871696,1172.2945828120826,-1.1853993234481028,6.738564781664194e-10,2.470807086610204e-9,9,35
TCGA-CHOL,ENSG00000109846.9,CRYAB,NA,NA,NA,NA,normal_vs_tumor,352.90811917513633,7014.947611309709,312.6554391628297,1455.2245812777173,4.31308303898866,1.2546877958222534e-8,3.450391438511197e-8,9,35
TCGA-CHOL,ENSG00000113013.16,HSPA9,NA,NA,NA,NA,normal_vs_tumor,18871.24240503255,13260.363733136415,19491.94439597556,12210.04636710914,-0.5090980949208794,0.012393951121215104,0.01704168279167077,9,35
TCGA-CHOL,ENSG00000115541.11,HSPE1,NA,NA,NA,NA,normal_vs_tumor,1082.3831025730215,682.5080753755732,907.5552362199494,670.2233649337783,-0.6652477058276769,0.001351676532580048,0.002287452593597004,9,35
TCGA-CHOL,ENSG00000120675.6,DNAJC15,NA,NA,NA,NA,normal_vs_tumor,1773.4053202657274,1400.5920722211797,1845.7578720124413,1093.9299537527295,-0.34048420884416714,0.37623291370697765,0.39414876674064325,9,35
TCGA-CHOL,ENSG00000126602.11,TRAP1,NA,NA,NA,NA,normal_vs_tumor,3133.2518378622667,2927.280435189754,3065.059732700317,2664.9689882305015,-0.09815726785578448,0.5626456650178211,0.5626456650178211,9,35
TCGA-CHOL,ENSG00000135924.16,DNAJB2,NA,NA,NA,NA,normal_vs_tumor,2818.4586834607144,5302.775753104295,2905.6405546719348,4930.338475410563,0.9118910641731499,1.4718528755554591e-8,3.597862584691122e-8,9,35
TCGA-CHOL,ENSG00000144381.18,HSPD1,NA,NA,NA,NA,normal_vs_tumor,20745.292530854742,14348.183030191978,22838.277521892072,14253.229139390527,-0.5319001352168993,0.002748610411527126,0.004319244932399769,9,35
TCGA-CHOL,ENSG00000146731.11,CCT6A,NA,NA,NA,NA,normal_vs_tumor,3314.902470484548,7916.497619197086,3525.6498639714387,7227.94482133532,1.2558932973690309,2.31999012698593e-17,1.7013260931230155e-16,9,35
TCGA-CHOL,ENSG00000152137.8,HSPB8,NA,NA,NA,NA,normal_vs_tumor,264.0667676274012,1955.1890661198038,232.74400412737413,1382.0321713805365,2.8888294779732555,2.2589775534534514e-9,7.0996437394251324e-9,9,35
TCGA-CHOL,ENSG00000164284.15,GRPEL2,NA,NA,NA,NA,normal_vs_tumor,366.6796518787904,747.6422693041142,377.02567663752995,723.4465981307303,1.0278551187507285,7.014055989008168e-12,3.8577307939544924e-11,9,35
TCGA-CHOL,ENSG00000166855.9,CLPX,NA,NA,NA,NA,normal_vs_tumor,5244.031095846364,1864.4356223989967,5425.491444296163,1766.9343718381679,-1.4917995905077255,1.5758477029843516e-23,3.4668649465655736e-22,9,35
TCGA-CHOL,ENSG00000173641.18,HSPB7,NA,NA,NA,NA,normal_vs_tumor,63.08314852184601,145.13166415748057,53.82312423252872,96.1407897811735,1.2029135004438996,0.005250439033278102,0.007700643915474549,9,35
TCGA-CHOL,ENSG00000205138.4,SDHAF1,NA,NA,NA,NA,normal_vs_tumor,503.5419364478226,587.4068628860724,486.144347906711,517.6219477033203,0.22250392294207327,0.3132158835489134,0.36267102305663657,9,35
