gene_id,module
AC011352.3,grey
AC011363.1,turquoise
AC011369.2,salmon
AC011370.1,orange
AC011374.1,turquoise
AC011379.1,grey
AC011379.2,yellow
AC011383.1,steelblue
AC011388.1,red
AC011405.1,brown
AC011407.1,grey
AC011411.1,yellow
AC011416.3,grey
AC011416.4,grey
AC011442.1,cyan
AC011444.1,darkred
AC011445.1,darkred
AC011447.3,grey
AC011447.7,blue
AC011448.1,brown
AC011450.1,salmon
AC011451.3,thistle2
AC011451.4,grey
AC011455.8,pink
AC011461.1,red
AC011462.4,brown
AC011462.5,pink
AC011465.1,yellow
AC011466.3,yellow
AC011468.1,lightsteelblue1
AC011468.4,lightcyan
AC011468.5,grey
AC011472.1,yellow
AC011472.2,lightgreen
AC011472.4,brown
AC011473.3,saddlebrown
AC011476.2,blue
AC011476.3,yellow
AC011477.1,royalblue
AC011477.2,royalblue
AC011479.2,yellow
AC011479.3,grey
AC011481.1,brown
AC011481.3,blue
AC011483.1,saddlebrown
AC011483.3,saddlebrown
AC011484.1,magenta
AC011487.2,blue
AC011495.1,greenyellow
AC011498.4,turquoise
AC011498.6,brown
AC011498.7,lightgreen
AC011503.1,green
AC011503.2,royalblue
AC011511.5,grey
AC011601.1,turquoise
AC011611.2,grey
AC011611.3,grey
AC011632.1,orange
AC011676.1,grey
AC011676.2,darkorange
AC011676.5,red
AC011700.1,grey
AC011767.1,grey
AC011773.3,magenta
AC011815.1,grey
AC011815.2,brown
AC011815.3,yellow
AC011825.2,yellow
AC011899.2,blue
AC011912.1,grey
AC011921.1,brown
AC011933.1,greenyellow
AC011944.1,blue
AC011979.1,greenyellow
AC011995.2,pink
AC011997.1,grey
AC012020.1,steelblue
AC012063.1,ivory
AC012065.2,plum1
AC012081.2,grey
AC012085.1,grey60
AC012085.2,green
AC012101.2,green
AC012123.1,turquoise
AC012146.2,grey60
AC012150.1,grey
AC012158.1,steelblue
AC012174.1,paleturquoise
AC012181.1,brown
AC012181.2,tan
AC012184.3,magenta
AC012186.2,blue
AC012213.1,white
AC012213.2,brown
AC012213.3,lightgreen
AC012213.4,white
AC012236.1,tan
AC012254.3,yellow
AC012254.5,brown
AC012291.3,brown
AC012306.3,magenta
AC012313.1,grey
AC012313.10,grey
AC012313.2,grey
AC012313.3,brown
AC012313.5,royalblue
AC012313.6,brown
AC012313.8,royalblue
AC012317.1,pink
AC012317.2,skyblue
AC012354.1,grey
AC012354.2,turquoise
AC012354.4,darkmagenta
AC012354.7,turquoise
AC012358.1,yellow
AC012358.2,magenta
AC012360.1,darkred
AC012360.2,grey
AC012368.1,magenta
AC012368.2,grey
AC012368.3,grey
AC012378.2,purple
AC012409.3,green
AC012414.4,grey
AC012435.2,lightyellow
AC012442.1,lightcyan1
AC012443.2,yellow
AC012447.1,red
AC012459.1,yellow
AC012467.1,pink
AC012485.1,yellow
AC012485.2,pink
AC012485.3,pink
AC012494.1,grey
AC012511.1,blue
AC012513.3,grey
AC012531.1,yellow
AC012557.2,brown
AC012560.1,navajowhite2
AC012569.1,red
AC012593.2,pink
AC012615.1,white
AC012615.4,yellow
AC012615.6,yellow
AC012618.1,red
AC012618.2,yellow
AC012618.3,thistle1
AC012625.1,orange
AC012640.2,magenta
AC012640.4,brown
AC012640.5,darkred
AC012645.1,black
AC012645.3,blue
AC012645.4,brown
AC012651.1,yellow
AC012653.2,pink
AC012676.1,red
AC012676.3,darkslateblue
AC012676.5,yellow
AC013268.3,grey
AC013268.4,cyan
AC013287.1,lightcyan1
AC013356.1,greenyellow
AC013356.2,yellow
AC013391.3,yellowgreen
AC013394.1,grey
AC013410.2,turquoise
AC013451.2,midnightblue
AC013460.1,blue
AC013470.2,grey
AC013486.1,blue
AC013553.3,blue
AC013553.4,blue
AC013565.1,green
AC013643.2,brown
AC013643.3,brown
AC013652.1,turquoise
AC013701.2,turquoise
AC013731.1,brown
AC015522.1,darkmagenta
AC015656.1,grey
AC015660.1,turquoise
AC015660.2,cyan
AC015660.3,brown
AC015660.5,turquoise
AC015687.1,brown
AC015712.1,grey
AC015712.2,darkred
AC015712.6,grey
AC015712.7,red
AC015722.2,blue
AC015726.1,lightgreen
AC015799.1,grey
AC015802.1,red
AC015802.3,grey
AC015802.4,brown
AC015802.5,lightgreen
AC015802.6,darkred
AC015802.7,salmon4
AC015813.1,brown
AC015813.4,turquoise
AC015813.6,grey
AC015818.2,purple
AC015818.3,grey
AC015818.5,purple
AC015819.1,blue
AC015819.2,darkred
AC015849.1,brown
AC015849.3,yellow
AC015849.5,turquoise
AC015871.3,brown
AC015883.1,turquoise
AC015909.2,grey
AC015909.5,greenyellow
AC015911.1,greenyellow
AC015911.3,blue
AC015911.4,red
AC015911.7,blue
AC015912.3,darkred
AC015914.1,grey
AC015921.1,cyan
AC015922.2,lightcyan
AC015922.3,purple
AC015959.1,grey
AC015961.1,turquoise
AC015961.2,lightgreen
AC015971.1,yellow
AC015983.2,turquoise
AC015987.1,pink
AC016026.1,grey
AC016026.2,yellow
AC016027.1,magenta
AC016044.1,grey
AC016065.1,magenta
AC016074.2,blue
AC016229.2,grey
AC016252.1,lightgreen
AC016355.1,magenta
AC016394.1,grey
AC016394.2,paleturquoise
AC016396.1,brown
AC016397.2,grey
AC016405.3,grey
AC016526.2,brown
AC016546.1,greenyellow
AC016571.1,brown
AC016575.1,brown
AC016582.1,royalblue
AC016582.2,royalblue
AC016582.3,royalblue
AC016583.1,brown
AC016583.2,cyan
AC016586.1,yellow
AC016590.1,royalblue
AC016590.3,lightsteelblue1
AC016590.4,green
AC016596.2,red
AC016705.2,purple
AC016717.2,grey
AC016722.2,yellow
AC016727.1,brown
AC016730.1,thistle2
AC016735.1,pink
AC016737.1,brown
AC016737.2,darkred
AC016738.1,red
AC016739.1,greenyellow
AC016745.1,turquoise
AC016747.1,grey
AC016747.2,magenta
AC016747.3,yellow
AC016747.4,yellow
AC016773.1,brown
AC016821.1,pink
AC016831.1,greenyellow
AC016831.6,midnightblue
AC016866.1,violet
AC016866.3,violet
AC016876.1,lightcyan1
AC016876.2,brown
AC016876.3,black
AC016877.3,lightgreen
AC016924.1,midnightblue
AC016949.1,grey
AC016957.2,lightyellow
AC016995.1,lightcyan
AC017002.3,grey
AC017033.1,darkgrey
AC017048.3,violet
AC017067.1,yellow
AC017074.1,darkred
AC017076.1,purple
AC017083.1,brown
AC017100.1,purple
AC017104.1,lightyellow
AC017104.3,grey60
AC017104.4,grey
AC017104.5,grey
AC018413.1,red
