gene_id,module
AC009148.1,brown
AC009152.1,yellow
AC009152.3,darkmagenta
AC009159.2,grey
AC009159.3,grey
AC009163.7,lightyellow
AC009171.2,orangered4
AC009185.1,lightgreen
AC009220.1,brown4
AC009220.3,darkolivegreen
AC009226.1,green
AC009228.1,black
AC009229.2,grey
AC009236.1,grey
AC009236.2,grey
AC009237.14,grey
AC009237.15,brown
AC009237.3,grey
AC009237.8,darkgreen
AC009242.1,black
AC009244.1,turquoise
AC009245.1,darkturquoise
AC009262.1,magenta
AC009264.1,magenta
AC009268.2,grey
AC009269.4,grey
AC009271.1,magenta
AC009271.2,magenta
AC009275.1,turquoise
AC009283.1,brown
AC009292.1,cyan
AC009299.2,yellowgreen
AC009301.1,grey60
AC009303.4,white
AC009309.1,lightyellow
AC009312.1,magenta
AC009315.1,magenta
AC009318.1,brown
AC009318.4,brown
AC009319.1,brown
AC009336.1,darkslateblue
AC009387.1,sienna3
AC009403.1,brown
AC009403.2,cyan
AC009404.1,brown
AC009407.1,yellowgreen
AC009478.1,yellow
AC009486.2,grey60
AC009495.3,pink
AC009501.2,orangered4
AC009506.1,floralwhite
AC009509.1,grey
AC009509.4,purple
AC009522.1,yellow
AC009533.1,brown
AC009533.2,brown
AC009542.1,black
AC009549.1,blue
AC009554.2,lightgreen
AC009560.1,royalblue
AC009570.1,lightyellow
AC009630.4,grey
AC009652.1,darkgrey
AC009686.2,grey
AC009690.1,brown
AC009716.1,yellow
AC009731.1,grey60
AC009754.2,yellow
AC009779.2,red
AC009779.3,brown
AC009802.1,green
AC009803.1,purple
AC009803.2,purple
AC009806.1,red
AC009812.1,green
AC009812.3,brown
AC009812.4,pink
AC009831.1,darkgrey
AC009878.1,grey
AC009879.3,brown
AC009879.4,black
AC009899.1,lightcyan
AC009902.2,pink
AC009902.3,brown
AC009948.1,grey
AC009948.2,grey
AC009950.1,turquoise
AC009951.6,turquoise
AC009955.2,salmon
AC009961.1,grey
AC009961.3,grey
AC009962.1,grey
AC009974.1,turquoise
AC009977.1,bisque4
AC010092.1,brown
AC010148.1,magenta
AC010149.1,turquoise
AC010168.1,magenta
AC010168.2,brown
AC010173.1,salmon4
AC010175.1,turquoise
AC010184.1,yellow
AC010186.2,turquoise
AC010186.3,salmon
AC010198.2,green
AC010201.1,greenyellow
AC010201.2,brown
AC010203.1,grey
AC010203.2,yellow
AC010207.1,grey
AC010210.1,brown
AC010226.1,turquoise
AC010245.2,grey
AC010247.1,turquoise
AC010247.2,turquoise
AC010255.1,thistle1
AC010255.2,grey
AC010260.1,darkred
AC010267.1,grey
AC010271.1,brown
AC010271.2,lightyellow
AC010273.3,grey60
AC010275.1,magenta
AC010280.1,grey60
AC010280.2,grey60
AC010285.3,cyan
AC010300.1,brown
AC010307.2,grey60
AC010307.4,darkred
AC010319.1,darkseagreen4
AC010319.3,darkseagreen4
AC010320.3,brown
AC010325.1,brown
AC010326.3,purple
AC010326.4,purple
AC010327.4,midnightblue
AC010327.5,brown
AC010327.6,brown
AC010327.7,greenyellow
AC010327.8,green
AC010328.1,yellow
AC010329.1,yellow
AC010329.2,yellow
AC010329.5,yellow
AC010331.1,lightyellow
AC010332.1,darkgreen
AC010332.3,darkgreen
AC010336.5,tan
AC010336.7,green
AC010343.1,darkturquoise
AC010343.3,pink
AC010378.1,tan
AC010422.2,darkgrey
AC010422.4,black
AC010422.8,brown
AC010457.1,thistle1
AC010476.2,grey
AC010478.1,blue
AC010487.1,yellow
AC010491.1,brown
