chaperone_ensembl,chaperone_gene_name,chaperone_uniprot,interactor_ensembl,interactor_gene_name,interactor_uniprot
ENSG00000146731,CCT6A,P40227,ENSG00000070770,CSNK2A2,P19784
ENSG00000146731,CCT6A,P40227,ENSG00000123416,TUBA1B,P68363
ENSG00000146731,CCT6A,P40227,ENSG00000196230,TUBB,P07437
ENSG00000146731,CCT6A,P40227,ENSG00000127824,TUBA4A,P68366
ENSG00000146731,CCT6A,P40227,ENSG00000230669,PSMB8,P28062
ENSG00000146731,CCT6A,P40227,ENSG00000069966,GNB5,O14775
ENSG00000146731,CCT6A,P40227,ENSG00000039068,CDH1,P12830
ENSG00000146731,CCT6A,P40227,ENSG00000100603,SNW1,Q13573
ENSG00000113013,HSPA9,P38646,ENSG00000145335,SNCA,P37840
ENSG00000113013,HSPA9,P38646,ENSG00000142208,AKT1,P31749
ENSG00000144381,HSPD1,P10809,ENSG00000164483,SAMD3,Q8N6K7
ENSG00000146731,CCT6A,P40227,ENSG00000105639,JAK3,P52333
ENSG00000146731,CCT6A,P40227,ENSG00000116455,WDR77,Q9BQA1
ENSG00000146731,CCT6A,P40227,ENSG00000136518,ACTL6A,O96019
ENSG00000146731,CCT6A,P40227,ENSG00000165819,METTL3,Q86U44
ENSG00000146731,CCT6A,P40227,ENSG00000156261,CCT8,P50990
ENSG00000146731,CCT6A,P40227,ENSG00000036257,CUL3,Q13618
ENSG00000146731,CCT6A,P40227,ENSG00000204616,TRIM31,Q9BZY9
ENSG00000146731,CCT6A,P40227,ENSG00000197386,HTT,P42858
ENSG00000146731,CCT6A,P40227,ENSG00000176105,YES1,P07947
ENSG00000146731,CCT6A,P40227,ENSG00000126934,MAP2K2,P36507
ENSG00000146731,CCT6A,P40227,ENSG00000000938,FGR,P09769
ENSG00000146731,CCT6A,P40227,ENSG00000078061,ARAF,P10398
ENSG00000146731,CCT6A,P40227,ENSG00000061938,TNK2,Q07912
ENSG00000146731,CCT6A,P40227,ENSG00000101213,PTK6,Q13882
ENSG00000146731,CCT6A,P40227,ENSG00000102572,STK24,Q9Y6E0
ENSG00000146731,CCT6A,P40227,ENSG00000291508,EIF4A3,P38919
ENSG00000146731,CCT6A,P40227,ENSG00000167965,MLST8,Q9BVC4
ENSG00000146731,CCT6A,P40227,ENSG00000073614,KDM5A,P29375
ENSG00000146731,CCT6A,P40227,ENSG00000171720,HDAC3,O15379
ENSG00000146731,CCT6A,P40227,ENSG00000074266,EED,O75530
ENSG00000146731,CCT6A,P40227,ENSG00000140009,ESR2,Q92731
ENSG00000146731,CCT6A,P40227,ENSG00000107643,MAPK8,P45983
ENSG00000146731,CCT6A,P40227,ENSG00000105397,TYK2,P29597
ENSG00000146731,CCT6A,P40227,ENSG00000167552,TUBA1A,Q71U36
ENSG00000146731,CCT6A,P40227,ENSG00000172531,PPP1CA,P62136
ENSG00000146731,CCT6A,P40227,ENSG00000001626,CFTR,P13569
ENSG00000146731,CCT6A,P40227,ENSG00000113575,PPP2CA,P67775
ENSG00000146731,CCT6A,P40227,ENSG00000175387,SMAD2,Q15796
ENSG00000146731,CCT6A,P40227,ENSG00000183735,TBK1,Q9UHD2
ENSG00000146731,CCT6A,P40227,ENSG00000164885,CDK5,Q00535
ENSG00000146731,CCT6A,P40227,ENSG00000116478,HDAC1,Q13547
ENSG00000146731,CCT6A,P40227,ENSG00000136997,MYC,P01106
ENSG00000146731,CCT6A,P40227,ENSG00000118058,KMT2A,Q03164
ENSG00000146731,CCT6A,P40227,ENSG00000291420,ACTG1,P63261
ENSG00000146731,CCT6A,P40227,ENSG00000142534,RPS11,P62280
ENSG00000146731,CCT6A,P40227,ENSG00000164924,YWHAZ,P63104
ENSG00000146731,CCT6A,P40227,ENSG00000185345,PRKN,O60260
ENSG00000146731,CCT6A,P40227,ENSG00000132155,RAF1,P04049
ENSG00000146731,CCT6A,P40227,ENSG00000182866,LCK,P06239
ENSG00000146731,CCT6A,P40227,ENSG00000163513,TGFBR2,P37173
ENSG00000146731,CCT6A,P40227,ENSG00000075624,ACTB,P60709
ENSG00000146731,CCT6A,P40227,ENSG00000155657,TTN,Q8WZ42
ENSG00000113013,HSPA9,P38646,ENSG00000197122,SRC,P12931
ENSG00000106211,HSPB1,P04792,ENSG00000106211,HSPB1,P04792
ENSG00000146731,CCT6A,P40227,ENSG00000288516,PRKACA,P17612
ENSG00000146731,CCT6A,P40227,ENSG00000010810,FYN,P06241
ENSG00000146731,CCT6A,P40227,ENSG00000165280,VCP,P55072
ENSG00000146731,CCT6A,P40227,ENSG00000196363,WDR5,P61964
