gene_id,module
AC009123.1,turquoise
AC009126.1,blue
AC009133.1,yellow
AC009133.3,brown
AC009139.1,turquoise
AC009145.4,grey
AC009148.1,yellow
AC009152.3,grey
AC009152.6,turquoise
AC009159.3,turquoise
AC009163.4,pink
AC009163.7,grey
AC009171.1,blue
AC009171.2,blue
AC009185.1,grey
AC009220.2,pink
AC009220.3,grey
AC009226.1,blue
AC009227.1,royalblue
AC009228.1,purple
AC009229.2,grey
AC009229.4,turquoise
AC009236.1,grey
AC009236.2,grey
AC009237.14,grey
AC009237.15,grey
AC009237.3,grey
AC009237.8,purple
AC009242.1,yellow
AC009244.1,turquoise
AC009245.1,salmon
AC009262.1,midnightblue
AC009264.1,midnightblue
AC009268.2,grey
AC009269.4,turquoise
AC009269.5,grey
AC009271.1,midnightblue
AC009271.2,midnightblue
AC009275.1,turquoise
AC009283.1,thistle1
AC009299.2,pink
AC009301.1,grey
AC009303.4,turquoise
AC009309.1,cyan
AC009312.1,grey
AC009315.1,midnightblue
AC009318.1,yellow
AC009318.2,turquoise
AC009318.3,grey
AC009318.4,yellow
AC009319.1,blue
AC009336.1,pink
AC009403.1,yellow
AC009404.1,yellow
AC009407.1,grey
AC009486.1,purple
AC009486.2,grey
AC009495.2,yellow
AC009495.3,turquoise
AC009501.2,blue
AC009506.1,green
AC009509.1,grey
AC009509.4,grey
AC009522.1,grey
AC009533.1,yellow
AC009533.2,yellow
AC009549.1,magenta
AC009554.2,pink
AC009560.3,grey
AC009560.4,grey
AC009570.1,cyan
AC009570.2,grey60
AC009630.1,grey
AC009630.2,grey
AC009630.4,grey
AC009652.1,grey
AC009682.1,grey
AC009686.2,turquoise
AC009690.1,yellow
AC009716.1,tan
AC009716.2,grey
AC009754.1,green
AC009754.2,blue
AC009779.2,turquoise
AC009779.3,magenta
AC009802.1,grey
AC009804.1,grey
AC009806.1,magenta
AC009812.1,grey
AC009812.3,darkturquoise
AC009812.4,grey
AC009831.1,violet
AC009878.1,grey
AC009879.3,grey
AC009879.4,grey
AC009899.1,midnightblue
AC009902.2,blue
AC009902.3,turquoise
AC009927.1,pink
AC009948.1,blue
AC009948.2,grey
AC009950.1,pink
AC009951.6,darkgrey
AC009955.1,turquoise
AC009955.2,turquoise
AC009955.3,royalblue
AC009955.4,pink
AC009961.1,black
AC009961.3,grey
AC009962.1,saddlebrown
AC009974.1,grey
AC009974.2,pink
AC010092.1,turquoise
AC010148.1,grey
AC010149.1,red
